id;fecha;precio;codigo_seguimiento
1;2023-01-14T17:51:34;84409;f51256ff-787c-4404-a879-214c1ce00ae4
2;2023-01-14T03:01:14;81279;d04a1b96-1804-4acd-9e85-55e71d58e22c
3;2023-01-14T00:34:30;70218;a319b92d-bb82-4448-abd1-4b967a56b5a9
4;2023-01-14T01:15:11;27333;e95b831f-b5e6-4889-bf0c-22a9664bd160
5;2023-01-14T17:53:12;36890;e3ccb1e7-7440-43d8-9af5-3624940430c6
6;2023-01-14T02:19:28;21715;52404887-baaa-40bb-8fcf-6975f05e3215
7;2023-01-14T19:03:18;97848;1cf10fe3-a92a-4540-970a-f0052d681568
8;2023-01-14T21:05:17;14713;f1230878-2dd4-4b3f-b5eb-503aab9d353a
9;2023-01-14T02:14:38;17713;6e2e02a9-876c-4746-87aa-d95480a286e2
10;2023-01-14T02:30:16;61565;f752f12e-1924-4c01-a8dd-04caf55ccef0
